
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type UnityEngine.UI.Text (ID: -169350) of size 2436
    Type UnityEngine.UI.Text (ID: -170094) of size 2436
    Type UnityEngine.UI.Text (ID: -169196) of size 2436
    Type ComThumbImageEffect (ID: 109602) of size 2424
    Type UnityEngine.UI.Text (ID: -226572) of size 2412
    Type ComCommonBind (ID: 110096) of size 2408
    Type UnityEngine.UI.Text (ID: 107452) of size 2404
    Type UnityEngine.UI.Text (ID: 127740) of size 2404
    Type UnityEngine.UI.Text (ID: 126554) of size 2404
    Type UnityEngine.UI.Text (ID: 93432) of size 2404
    Type UnityEngine.UI.Text (ID: 107358) of size 2404
    Type UnityEngine.UI.Text (ID: 107504) of size 2404
    Type UnityEngine.UI.Text (ID: 118788) of size 2404
    Type UnityEngine.UI.Text (ID: 109558) of size 2404
    Type UnityEngine.UI.Text (ID: 109570) of size 2404
    Type UnityEngine.UI.Text (ID: 118290) of size 2404
    Type UnityEngine.UI.Text (ID: 122712) of size 2404
    Type UnityEngine.UI.Text (ID: 122748) of size 2404
    Type UnityEngine.UI.Text (ID: 102506) of size 2404
    Type UnityEngine.UI.Text (ID: 109702) of size 2404
    Type UnityEngine.UI.Text (ID: 118288) of size 2404
    Type UnityEngine.UI.Text (ID: 107940) of size 2404
    Type UnityEngine.UI.Text (ID: 104482) of size 2404
    Type UnityEngine.UI.Text (ID: 107866) of size 2404
    Type UnityEngine.UI.Text (ID: 127716) of size 2404
    Type UnityEngine.UI.Text (ID: 122860) of size 2404
    Type UnityEngine.UI.Text (ID: 127708) of size 2404
    Type UnityEngine.UI.Text (ID: 127696) of size 2404
    Type UnityEngine.UI.Text (ID: 122828) of size 2404
    Type UnityEngine.UI.Text (ID: 104528) of size 2404
    Type UnityEngine.UI.Text (ID: 107458) of size 2404
    Type UnityEngine.UI.Text (ID: 107886) of size 2404
    Type UnityEngine.UI.Text (ID: 111750) of size 2404
    Type UnityEngine.UI.Text (ID: 122486) of size 2404
    Type UnityEngine.UI.Text (ID: 122470) of size 2404
    Type UnityEngine.UI.Text (ID: 122778) of size 2404
    Type UnityEngine.UI.Text (ID: 122570) of size 2404
    Type UnityEngine.UI.Text (ID: 122682) of size 2404
    Type UnityEngine.UI.Text (ID: 122700) of size 2404
    Type UnityEngine.UI.Text (ID: 122668) of size 2404
    Type UnityEngine.UI.Text (ID: 110132) of size 2404
    Type UnityEngine.UI.Text (ID: 107952) of size 2404
    Type UnityEngine.UI.Text (ID: 122630) of size 2404
    Type UnityEngine.UI.Text (ID: 122802) of size 2404
    Type UnityEngine.UI.Text (ID: 107946) of size 2404
    Type UnityEngine.UI.Text (ID: 126260) of size 2404
    Type UnityEngine.UI.Text (ID: 107800) of size 2404
    Type UnityEngine.UI.Text (ID: 107820) of size 2404
    Type UnityEngine.UI.Text (ID: 122662) of size 2404
    Type UnityEngine.UI.Text (ID: 107926) of size 2404
    Type UnityEngine.UI.Text (ID: 105488) of size 2404
    Type UnityEngine.UI.Text (ID: 107832) of size 2404
    Type UnityEngine.UI.Text (ID: 126492) of size 2404
    Type UnityEngine.UI.Text (ID: 122608) of size 2404
    Type UnityEngine.UI.Text (ID: 109612) of size 2404
    Type UnityEngine.UI.Text (ID: 118782) of size 2404
    Type UnityEngine.UI.Text (ID: 122634) of size 2404
    Type UnityEngine.UI.Text (ID: 110054) of size 2404
    Type UnityEngine.UI.Text (ID: 122494) of size 2404
    Type UnityEngine.UI.Text (ID: 122480) of size 2404
    Type UnityEngine.UI.Text (ID: 122646) of size 2404
    Type UnityEngine.UI.Text (ID: 107896) of size 2404
    Type UnityEngine.UI.Text (ID: 122654) of size 2404
    Type UnityEngine.UI.Text (ID: 107806) of size 2404
    Type UnityEngine.UI.Text (ID: 122500) of size 2404
    Type UnityEngine.UI.Text (ID: 107852) of size 2404
    Type UnityEngine.UI.Text (ID: 106836) of size 2404
    Type UnityEngine.UI.Text (ID: 104620) of size 2404
    Type UnityEngine.UI.Text (ID: 107336) of size 2404
    Type UnityEngine.UI.Text (ID: 111906) of size 2404
    Type UnityEngine.UI.Text (ID: 125930) of size 2404
    Type UnityEngine.UI.Text (ID: 122834) of size 2404
    Type UnityEngine.UI.Text (ID: 104846) of size 2404
    Type UnityEngine.UI.Text (ID: 111848) of size 2404
    Type UnityEngine.UI.Text (ID: 107370) of size 2404
    Type UnityEngine.UI.Text (ID: 127098) of size 2404
    Type UnityEngine.UI.Text (ID: 107902) of size 2404
    Type UnityEngine.UI.Text (ID: 122874) of size 2404
    Type UnityEngine.UI.Text (ID: 108032) of size 2404
    Type UnityEngine.UI.Text (ID: 122846) of size 2404
    Type UnityEngine.UI.Text (ID: 117838) of size 2404
    Type UnityEngine.UI.Text (ID: 111558) of size 2404
    Type UnityEngine.UI.Text (ID: 105482) of size 2404
    Type UnityEngine.UI.Text (ID: 125928) of size 2404
    Type UnityEngine.UI.Text (ID: 107794) of size 2404
    Type UnityEngine.UI.Text (ID: 104446) of size 2404
    Type UnityEngine.UI.Text (ID: 107860) of size 2404
    Type OnOpenActiveFrame (ID: -169570) of size 2304
    Type UnityEngine.UI.Button (ID: -169562) of size 2300
    Type UnityEngine.UI.Text (ID: -169986) of size 2184
    Type UnityEngine.UI.Text (ID: -169432) of size 2184
    Type UnityEngine.UI.Text (ID: -169700) of size 2184
    Type UnityEngine.UI.Text (ID: -169274) of size 2184
    Type UnityEngine.UI.Text (ID: -168954) of size 2184
    Type UnityEngine.UI.Text (ID: -169656) of size 2184
    Type UnityEngine.UI.Text (ID: -169940) of size 2184
    Type UnityEngine.UI.Text (ID: -169896) of size 2184
    Type UnityEngine.UI.Text (ID: -170222) of size 2184
    Type UnityEngine.UI.Text (ID: -169388) of size 2184
    Type UnityEngine.UI.Text (ID: -170258) of size 2184
    Type UnityEngine.UI.Text (ID: -169744) of size 2184
    Type UnityEngine.UI.Text (ID: -169472) of size 2184
    Type UnityEngine.UI.Text (ID: -170050) of size 2184
    Type UnityEngine.UI.Text (ID: -169538) of size 2184
    Type UnityEngine.UI.Text (ID: -170674) of size 2184
    Type ControlButtonAnimation (ID: -169922) of size 2176
    Type ControlButtonAnimation (ID: -170204) of size 2176
    Type ControlButtonAnimation (ID: -169254) of size 2176
    Type ControlButtonAnimation (ID: -169878) of size 2176
    Type ControlButtonAnimation (ID: -170240) of size 2176
    Type ControlButtonAnimation (ID: -170074) of size 2176
    Type ControlButtonAnimation (ID: -169368) of size 2176
    Type ControlButtonAnimation (ID: -169330) of size 2176
    Type ControlButtonAnimation (ID: -170030) of size 2176
    Type ControlButtonAnimation (ID: -169566) of size 2176
    Type ControlButtonAnimation (ID: -169682) of size 2176
    Type ControlButtonAnimation (ID: -169448) of size 2176
    Type ControlButtonAnimation (ID: -169636) of size 2176
    Type ControlButtonAnimation (ID: -169412) of size 2176
    Type ControlButtonAnimation (ID: -169726) of size 2176
    Type ControlButtonAnimation (ID: -169966) of size 2176
    Type ControlButtonAnimation (ID: -169518) of size 2176
    Type ControlButtonAnimation (ID: -169176) of size 2176
    Type ComChapterSelectUnlock (ID: 109516) of size 2156
    Type UnityEngine.UI.Text (ID: 111768) of size 2152
    Type UnityEngine.UI.Text (ID: 127042) of size 2152
    Type UnityEngine.UI.Text (ID: 118616) of size 2152
    Type UnityEngine.UI.Text (ID: 104584) of size 2152
    Type UnityEngine.UI.Text (ID: 103888) of size 2152
    Type UnityEngine.UI.Text (ID: 104058) of size 2152
    Type UnityEngine.UI.Text (ID: 118210) of size 2152
    Type UnityEngine.UI.Text (ID: 104256) of size 2152
    Type UnityEngine.UI.Text (ID: 104464) of size 2152
    Type UnityEngine.UI.Text (ID: 104598) of size 2152
    Type UnityEngine.UI.Text (ID: 106762) of size 2152
    Type UnityEngine.UI.Text (ID: 111526) of size 2152
    Type UnityEngine.UI.Text (ID: 107964) of size 2152
    Type UnityEngine.UI.Text (ID: 94230) of size 2152
    Type UnityEngine.UI.Text (ID: 112138) of size 2152
    Type UnityEngine.UI.Text (ID: 104238) of size 2152
    Type UnityEngine.UI.Text (ID: 112064) of size 2152
    Type UnityEngine.UI.Text (ID: 112102) of size 2152
    Type UnityEngine.UI.Text (ID: 104658) of size 2152
    Type UnityEngine.UI.Text (ID: 112140) of size 2152
    Type UnityEngine.UI.Text (ID: 111918) of size 2152
    Type UnityEngine.UI.Text (ID: 104514) of size 2152
    Type UnityEngine.UI.Text (ID: 94216) of size 2152
    Type UnityEngine.UI.Text (ID: 107838) of size 2152
    Type UnityEngine.UI.Text (ID: 94254) of size 2152
    Type UnityEngine.UI.Text (ID: 110056) of size 2152
    Type UnityEngine.UI.Text (ID: 94256) of size 2152
    Type UnityEngine.UI.Text (ID: 111594) of size 2152
    Type UnityEngine.UI.Text (ID: 107788) of size 2152
    Type UnityEngine.UI.Text (ID: 107872) of size 2152
    Type UnityEngine.UI.Text (ID: 110288) of size 2152
    Type UnityEngine.UI.Text (ID: 126364) of size 2152
    Type UnityEngine.UI.Text (ID: 94214) of size 2152
    Type UnityEngine.UI.Text (ID: 106484) of size 2152
    Type UnityEngine.UI.Text (ID: 109922) of size 2152
    Type UnityEngine.UI.Text (ID: 109920) of size 2152
    Type UnityEngine.UI.Text (ID: 109912) of size 2152
    Type UnityEngine.UI.Text (ID: 111550) of size 2152
    Type UnityEngine.UI.Text (ID: 94232) of size 2152
    Type UnityEngine.UI.Text (ID: 112152) of size 2152
    Type UnityEngine.UI.Text (ID: 110198) of size 2152
    Type UnityEngine.UI.Text (ID: 104554) of size 2152
    Type UnityEngine.UI.Text (ID: 121248) of size 2152
    Type UnityEngine.UI.Text (ID: 104852) of size 2152
    Type UnityEngine.UI.Text (ID: 112144) of size 2152
    Type UnityEngine.UI.Text (ID: 104694) of size 2152
    Type UnityEngine.UI.Text (ID: 118606) of size 2152
    Type UnityEngine.UI.Text (ID: 126972) of size 2152
    Type UnityEngine.UI.Text (ID: 104536) of size 2152
    Type UnityEngine.UI.Text (ID: 126498) of size 2152
    Type UnityEngine.UI.Text (ID: 104186) of size 2152
    Type UnityEngine.UI.Text (ID: 111880) of size 2152
    Type UnityEngine.UI.Text (ID: 104770) of size 2152
    Type UnityEngine.UI.Text (ID: 126262) of size 2152
    Type UnityEngine.UI.Text (ID: 107892) of size 2152
    Type UnityEngine.UI.Text (ID: 104674) of size 2152
    Type UnityEngine.UI.Text (ID: -169822) of size 2152
    Type UnityEngine.UI.Text (ID: 111756) of size 2152
    Type UnityEngine.UI.Text (ID: 104264) of size 2152
    Type UnityEngine.UI.Text (ID: 126504) of size 2152
    Type UnityEngine.UI.Text (ID: 127026) of size 2152
    Type UnityEngine.UI.Text (ID: 109914) of size 2152
    Type UnityEngine.UI.Text (ID: 104640) of size 2152
    Type UnityEngine.UI.Text (ID: 111508) of size 2152
    Type UnityEngine.UI.Text (ID: 104322) of size 2152
    Type UnityEngine.UI.Text (ID: 118560) of size 2152
    Type UnityEngine.UI.Text (ID: 109918) of size 2152
    Type UnityEngine.UI.Text (ID: 104438) of size 2152
    Type UnityEngine.UI.Text (ID: 106030) of size 2152
    Type UnityEngine.UI.Text (ID: 109910) of size 2152
    Type UnityEngine.UI.Text (ID: 104332) of size 2152
    Type UnityEngine.UI.Text (ID: 104402) of size 2152
    Type UnityEngine.UI.Text (ID: 110146) of size 2152
    Type UnityEngine.UI.Text (ID: 111722) of size 2152
    Type UnityEngine.UI.Text (ID: 109924) of size 2152
    Type UnityEngine.UI.Text (ID: 109926) of size 2152
    Type UnityEngine.UI.Text (ID: 118196) of size 2152
    Type UnityEngine.UI.Text (ID: 118796) of size 2152
    Type UnityEngine.UI.Text (ID: 107958) of size 2152
    Type UnityEngine.UI.Text (ID: 107446) of size 2152
    Type UnityEngine.UI.Text (ID: 104702) of size 2152
    Type UnityEngine.UI.Text (ID: 107916) of size 2152
    Type UnityEngine.UI.Text (ID: 106446) of size 2152
    Type UnityEngine.UI.Text (ID: 104366) of size 2152
    Type UnityEngine.UI.Text (ID: 104092) of size 2152
    Type UnityEngine.UI.Text (ID: 104736) of size 2152
    Type UnityEngine.UI.Text (ID: 104346) of size 2152
    Type UnityEngine.UI.Text (ID: 123488) of size 2152
    Type UnityEngine.UI.Text (ID: 104212) of size 2152
    Type UnityEngine.UI.Text (ID: 126358) of size 2152
    Type UnityEngine.UI.Text (ID: 93642) of size 2152
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169366) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169410) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169252) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -170072) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -170028) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169328) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169174) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169920) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169724) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -170202) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -170238) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169876) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169680) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169516) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169446) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169564) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169634) of size 2148
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169964) of size 2148
    Type SpriteGraphic (ID: -206914) of size 2100
    Type SpriteGraphic (ID: -206998) of size 2100
    Type SpriteGraphic (ID: -206746) of size 2100
    Type SpriteGraphic (ID: -206830) of size 2100
    Type SpriteGraphic (ID: -206662) of size 2100
    Type SpriteGraphic (ID: -207082) of size 2100
    Type SpriteGraphic (ID: -224796) of size 2076
    Type SpriteGraphic (ID: 105574) of size 2076
    Type SpriteGraphic (ID: -224548) of size 2076
    Type SpriteGraphic (ID: -225052) of size 2076
    Type SpriteGraphic (ID: 106114) of size 2076
    Type SpriteGraphic (ID: -206556) of size 2076
    Type SpriteGraphic (ID: -170338) of size 2076
    Type SpriteGraphic (ID: 104802) of size 2076
    Type UnityEngine.UI.GeUIEffectParticle (ID: -207034) of size 2060
    Type UnityEngine.UI.GeUIEffectParticle (ID: -206614) of size 2060
    Type UnityEngine.UI.Slider (ID: -169112) of size 2000
    Type UnityEngine.UI.Slider (ID: -169044) of size 2000
    Type ComEffect (ID: -206938) of size 1936
    Type ComEffect (ID: -206770) of size 1936
    Type ComEffect (ID: -206854) of size 1936
    Type ComEffect (ID: -206496) of size 1936
    Type ComEffect (ID: -206686) of size 1936
    Type ComEffect (ID: 106052) of size 1912
    Type UnityEngine.UI.Text (ID: 110494) of size 1900
    Type UnityEngine.UI.Text (ID: 127104) of size 1900
    Type UnityEngine.UI.Text (ID: 110102) of size 1900
    Type UnityEngine.UI.Text (ID: 110326) of size 1900
    Type UnityEngine.UI.Text (ID: 127072) of size 1900
    Type UnityEngine.UI.Text (ID: 110640) of size 1900
    Type UnityEngine.UI.Text (ID: 127442) of size 1900
    Type UnityEngine.UI.Text (ID: 127110) of size 1900
    Type UnityEngine.UI.Text (ID: 118516) of size 1900
    Type UnityEngine.UI.Text (ID: 127114) of size 1900
    Type UnityEngine.UI.Text (ID: 118620) of size 1900
    Type UnityEngine.UI.Text (ID: 118532) of size 1900
    Type UnityEngine.UI.Text (ID: 127016) of size 1900
    Type UnityEngine.UI.Text (ID: 110126) of size 1900
    Type UnityEngine.UI.Text (ID: 118488) of size 1900
    Type UnityEngine.UI.Text (ID: 126828) of size 1900
    Type UnityEngine.UI.Text (ID: 118800) of size 1900
    Type UnityEngine.UI.Text (ID: 110124) of size 1900
    Type UnityEngine.UI.Text (ID: 110144) of size 1900
    Type UnityEngine.UI.Text (ID: 110196) of size 1900
    Type UnityEngine.UI.Text (ID: 118948) of size 1900
    Type UnityEngine.UI.Text (ID: 118936) of size 1900
    Type UnityEngine.UI.GeUIEffectParticle (ID: -169506) of size 1900
    Type UnityEngine.UI.Text (ID: 112042) of size 1900
    Type UnityEngine.UI.Text (ID: 112086) of size 1900
    Type UnityEngine.UI.Text (ID: 127010) of size 1900
    Type UnityEngine.UI.Text (ID: 112048) of size 1900
    Type UnityEngine.UI.Text (ID: 112112) of size 1900
    Type UnityEngine.UI.Text (ID: 112092) of size 1900
    Type UnityEngine.UI.Text (ID: 127060) of size 1900
    Type UnityEngine.UI.Text (ID: 127120) of size 1900
    Type UnityEngine.UI.Text (ID: 111778) of size 1900
    Type UnityEngine.UI.Text (ID: 127814) of size 1900
    Type UnityEngine.UI.Text (ID: 127078) of size 1900
    Type UnityEngine.UI.Text (ID: 118420) of size 1900
    Type UnityEngine.UI.Text (ID: 118216) of size 1900
    Type UnityEngine.UI.Text (ID: 118354) of size 1900
    Type UnityEngine.UI.Text (ID: 118962) of size 1900
    Type UnityEngine.UI.Text (ID: 127130) of size 1900
    Type UnityEngine.UI.Text (ID: 109916) of size 1900
    Type UnityEngine.UI.Text (ID: 110870) of size 1900
    Type UnityEngine.UI.Text (ID: 127004) of size 1900
    Type UnityEngine.UI.Text (ID: 110286) of size 1900
    Type UnityEngine.UI.Text (ID: 110588) of size 1900
    Type UnityEngine.UI.Toggle (ID: 106378) of size 1880
    Type UnityEngine.UI.Toggle (ID: 93800) of size 1784
    Type UnityEngine.UI.Toggle (ID: 93806) of size 1784
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: 102904) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -170118) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -169290) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: 103942) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -171016) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: 103932) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: -170978) of size 1748
    Type UnityEngine.UI.Extensions.UISelectableExtension (ID: 103242) of size 1748
